"lon","lat","cond","cond2","mmi"
-68.6203433456,45.8786662155,"Fair",2,54.4
-67.5498426735,44.7373762323,"Poor",1,29.57
-70.4642289039,43.4988544904,"Fair",2,41.52
-69.3783794642,46.9755596629,"Fair",2,53.77
-68.9496587209,45.2573317012,"Good",3,56.35
-69.7056035906,44.4215453146,"Poor",1,32.78
-69.6761408074,44.5010939992,"Poor",1,17.83
-70.0986098659,44.0030860306,"Fair",2,41.98
-85.1212207313,42.4372842346,"Fair",2,30.55
-85.9786013857,43.7707942331,"Good",3,37.63
-86.8983444697,46.3136840164,"Good",3,70.47
-89.5988420633,46.8116476972,"Poor",1,13.47
-83.2003426922,43.2077892304,"Fair",2,29.35
-86.1095372446,46.4896880795,"Fair",2,29.18
-86.0134031609,44.1428067588,"Good",3,37.67
-83.8728592913,44.2190280826,"Fair",2,28.97
-86.2077899887,42.3302679807,"Fair",2,28.15
-86.1159635196,43.5261642499,"Poor",1,18.78
-89.3979602219,46.5323136655,"Good",3,38.12
-87.407444777,45.6991387633,"Good",3,47.7
-84.592795687,42.5694992952,"Fair",2,23
-85.5942059952,43.0563105177,"Good",3,53.68
-82.9847673137,42.5555865335,"Poor",1,1.23
-85.5846835678,42.4283433589,"Good",3,38.02
-86.4236950084,42.0612714581,"Fair",2,33.3
-83.6244102045,43.3414741465,"Good",3,79.83
-86.0268710352,43.9306402172,"Good",3,56.68
-86.0239727181,43.022338754,"Fair",2,29.83
-83.9678813057,43.3109667142,"Fair",2,39.73
-84.2113080754,44.3152158252,"Good",3,42.43
-84.9387811266,42.8231590197,"Good",3,64.45
-88.9417885051,46.2920599668,"Poor",1,9.43
-84.9992370667,45.6536938295,"Fair",2,27.52
-84.6280276092,42.5416670431,"Good",3,52.02
-84.0945246362,44.6474742064,"Good",3,44.37
-86.1700512687,42.8094723131,"Poor",1,12.2
-82.5250402432,43.0043554832,"Fair",2,39.85
-85.147437553,42.0641964015,"Fair",2,30.93
-87.449746891,45.2925468297,"Fair",2,27.87
-85.038186252,44.0294964619,"Fair",2,32.45
-86.0055749581,43.3269547312,"Fair",2,33.33
-87.2473558013,46.0577662902,"Good",3,40.25
