DATE,UTC_TIME,MAG,LAT,LON,DEPTH
2019/07/04,18:47:06.59,4.34,35.67583,-117.48533,8.5
2019/07/04,18:47:22.60,4.02,35.6755,-117.472,10.3
2019/07/04,18:50:07.16,2.73,35.641,-117.56267,8.9
2019/07/04,18:50:15.91,3.7,35.682,-117.49617,1.3
2019/07/04,18:52:13.53,2.78,35.65433,-117.53983,0.9
2019/07/04,18:52:56.13,2.93,35.741,-117.561,0.2
2019/07/04,18:53:27.67,3.36,35.7285,-117.5605,7.9
2019/07/04,18:54:13.99,4.07,35.5975,-117.59967,5.3
2019/07/04,18:55:27.68,3.03,35.67533,-117.4795,10.7
2019/07/04,18:56:06.42,4.58,35.716,-117.56,1.9
2019/07/04,18:56:22.03,4.21,35.70867,-117.55417,1.2
2019/07/04,18:58:07.79,2.85,35.72667,-117.56517,0.1
2019/07/04,19:00:09.67,3.22,35.71117,-117.55133,2
2019/07/04,19:01:10.80,3.03,35.70867,-117.5565,2.1
2019/07/04,19:02:24.64,2.56,35.645,-117.53733,0
2019/07/04,19:10:19.82,3.29,35.694,-117.49017,1.6
2019/07/04,19:14:59.49,3,35.65483,-117.53883,2.4
2019/07/04,19:16:06.20,2.5,35.721,-117.5665,0.1
2019/07/04,19:17:51.36,2.98,35.69517,-117.50967,1.5
2019/07/04,19:17:58.14,3.26,35.62683,-117.601,10.4
2019/07/04,19:20:51.75,2.76,35.6385,-117.55383,1
2019/07/04,19:21:32.09,4.5,35.6715,-117.47883,5.2
2019/07/04,19:26:20.34,2.69,35.70867,-117.48333,1.4
2019/07/04,19:27:18.34,2.81,35.66967,-117.48,6.2
2019/07/04,19:39:49.76,2.63,35.683,-117.5195,5.8
2019/07/04,19:40:29.18,2.65,35.65567,-117.51583,1.8
2019/07/04,19:49:04.98,3.26,35.683,-117.4895,1
2019/07/04,19:51:16.98,3.35,35.71,-117.55617,2.1
2019/07/04,19:52:13.07,2.86,35.61017,-117.58617,6.4
2019/07/04,19:56:00.50,4.16,35.66233,-117.524,1.5
2019/07/04,19:56:08.44,3.44,32.18667,-115.1805,23.4
2019/07/04,19:58:00.22,2.65,35.71317,-117.55617,0.2
2019/07/04,20:01:11.19,2.61,35.69867,-117.50417,6.3
2019/07/04,20:01:32.93,2.5,35.678,-117.589,7.9
2019/07/04,20:04:15.50,2.56,35.70483,-117.48683,1.2
2019/07/04,20:06:08.25,3.39,35.69917,-117.48917,10.3
2019/07/04,20:11:31.46,2.61,35.683,-117.50483,1.7
2019/07/04,20:14:50.34,3.99,35.69917,-117.5125,5.8
2019/07/04,20:17:36.83,3.09,35.7,-117.48367,1.2
2019/07/04,20:23:09.93,3.43,35.64083,-117.59733,10.4
2019/07/04,20:23:58.65,2.53,35.65833,-117.56233,4.4
2019/07/04,20:34:32.08,2.59,35.63917,-117.58533,8.8
